method,variant_id,decision_date,stance,action,target_exposure,cash_votes,required_cash_votes,status,current_report_date,current_availability_date,complete_releases_available,prior_releases_used,signals
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,1999-12-31,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-03,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-04,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-05,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-06,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-07,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-10,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-11,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-12,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-13,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-14,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-18,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-19,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-20,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-21,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-24,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-25,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-26,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-27,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-28,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-01-31,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-01,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-02,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-03,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-04,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-07,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-08,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
cftc_legacy_causal_2_of_3_v1,cot_52w_z075,2000-02-09,LONG,BUY_ALL,1,0,2,no_complete_release,,,0,0,[]
