decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
2004-12-31,2005-01-03,0.969608694843,1000,999.000999001,0,1030.31357321,0,1,1,1030.31357321,0.969608694843,0.970578303538,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001
2005-01-03,2005-01-04,0.954790152952,983.733254155,983.733254155,0,1030.31357321,1,1,1,0,0.954790152952,0.954790152952,0,0,0,0,False,-0.0152830125905,-15.2677448457,-0.0162667458447
2005-01-04,2005-01-05,0.964817944418,994.065023813,994.065023813,0,1030.31357321,1,1,1,0,0.964817944418,0.964817944418,0,0,0,0,False,0.0105026129935,10.3317696572,-0.00593497618744
2005-01-05,2005-01-06,0.967961546038,997.30391923,997.30391923,0,1030.31357321,1,1,1,0,0.967961546038,0.967961546038,0,0,0,0,False,0.00325823295252,3.23889541753,-0.00269608076991
2005-01-06,2005-01-07,0.972900866143,1002.39296778,1002.39296778,0,1030.31357321,1,1,1,0,0.972900866143,0.972900866143,0,0,0,0,False,0.0051028061241,5.08904854664,0
2005-01-07,2005-01-10,1.04519506087,1076.87865786,1076.87865786,0,1030.31357321,1,1,1,0,1.04519506087,1.04519506087,0,0,0,0,False,0.0743078737397,74.4856900871,0
2005-01-10,2005-01-11,1.02154591071,1052.51261746,1052.51261746,0,1030.31357321,1,1,1,0,1.02154591071,1.02154591071,0,0,0,0,False,-0.0226265422063,-24.3660404032,-0.0226265422063
2005-01-11,2005-01-12,0.97963677335,1009.3330644,1009.3330644,0,1030.31357321,1,1,1,0,0.97963677335,0.97963677335,0,0,0,0,False,-0.0410252118063,-43.1795530601,-0.0627234953261
2005-01-12,2005-01-13,1.10327028438,1136.71434892,1136.71434892,0,1030.31357321,1,1,1,0,1.10327028438,1.10327028438,0,0,0,0,False,0.126203419869,127.381284515,0
2005-01-13,2005-01-14,1.05148195001,1083.35612508,1083.35612508,0,1030.31357321,1,1,1,0,1.05148195001,1.05148195001,0,0,0,0,False,-0.046940749791,-53.3582238362,-0.046940749791
2005-01-14,2005-01-18,1.04549432831,1077.18699717,1077.18699717,0,1030.31357321,1,1,1,0,1.04549432831,1.04549432831,0,0,0,0,False,-0.00569445980115,-6.16912790459,-0.0523679073794
2005-01-18,2005-01-19,1.05507439233,1087.05746717,1087.05746717,0,1030.31357321,1,1,1,0,1.05507439233,1.05507439233,0,0,0,0,False,0.00916319081141,9.87046999468,-0.0436845736957
2005-01-19,2005-01-20,1.04250152424,1074.10347052,1074.10347052,0,1030.31357321,1,1,1,0,1.04250152424,1.04250152424,0,0,0,0,False,-0.0119165702303,-12.9539966519,-0.0550805736356
2005-01-20,2005-01-21,1.06734792243,1099.70305182,1099.70305182,0,1030.31357321,1,1,1,0,1.06734792243,1.06734792243,0,0,0,0,False,0.0238334406332,25.5995812984,-0.0325598925842
2005-01-21,2005-01-24,1.06240832427,1094.61371679,1094.61371679,0,1030.31357321,1,1,1,0,1.06240832427,1.06240832427,0,0,0,0,False,-0.00462791752299,-5.08933502358,-0.0370371256098
2005-01-24,2005-01-25,1.06824520528,1100.62753451,1100.62753451,0,1030.31357321,1,1,1,0,1.06824520528,1.06824520528,0,0,0,0,False,0.00549400910082,6.01381772194,-0.0317465988141
2005-01-25,2005-01-26,1.08755336391,1120.52099243,1120.52099243,0,1030.31357321,1,1,1,0,1.08755336391,1.08755336391,0,0,0,0,False,0.0180746504094,19.8934579173,-0.01424575708
2005-01-26,2005-01-27,1.08006991473,1112.81069316,1112.81069316,0,1030.31357321,1,1,1,0,1.08006991473,1.08006991473,0,0,0,0,False,-0.00688099493157,-7.71029926964,-0.0210287270293
2005-01-27,2005-01-28,1.08695545511,1119.90495888,1119.90495888,0,1030.31357321,1,1,1,0,1.08695545511,1.08695545511,0,0,0,0,False,0.00637508766045,7.09426571839,-0.014787699347
2005-01-28,2005-01-31,1.11629224334,1150.13104999,1150.13104999,0,1030.31357321,1,1,1,0,1.11629224334,1.11629224334,0,0,0,0,False,0.0269898716574,30.2260911087,0
2005-01-31,2005-02-01,1.15326259477,1188.22210487,1188.22210487,0,1030.31357321,1,1,1,0,1.15326259477,1.15326259477,0,0,0,0,False,0.0331188823051,38.0910548801,0
2005-02-01,2005-02-02,1.1667327283,1202.10056627,1202.10056627,0,1030.31357321,1,1,1,0,1.1667327283,1.1667327283,0,0,0,0,False,0.0116800229089,13.8784614057,0
2005-02-02,2005-02-03,1.18394603694,1219.83567181,1219.83567181,0,1030.31357321,1,1,1,0,1.18394603694,1.18394603694,0,0,0,0,False,0.0147534291493,17.7351055348,0
2005-02-03,2005-02-04,1.1655362282,1200.86779599,1200.86779599,0,1030.31357321,1,1,1,0,1.1655362282,1.1655362282,0,0,0,0,False,-0.0155495336459,-18.9678758212,-0.0155495336459
2005-02-04,2005-02-07,1.18140149541,1217.21399613,1217.21399613,0,1030.31357321,1,1,1,0,1.18140149541,1.18140149541,0,0,0,0,False,0.0136119897591,16.346200141,-0.00214920397958
2005-02-07,2005-02-08,1.18349702126,1219.37304486,1219.37304486,0,1030.31357321,1,1,1,0,1.18349702126,1.18349702126,0,0,0,0,False,0.00177376265802,2.15904873316,-0.000379253499318
2005-02-08,2005-02-09,1.2129833809,1249.75324142,1249.75324142,0,1030.31357321,1,1,1,0,1.2129833809,1.2129833809,0,0,0,0,False,0.0249146040116,30.3801965552,0
2005-02-09,2005-02-10,1.17825841846,1213.97564129,1213.97564129,0,1030.31357321,1,1,1,0,1.17825841846,1.17825841846,0,0,0,0,False,-0.028627731412,-35.7776001265,-0.028627731412
2005-02-10,2005-02-11,1.19532129319,1231.55575272,1231.55575272,0,1030.31357321,1,1,1,0,1.19532129319,1.19532129319,0,0,0,0,False,0.0144814367219,17.5801114313,-0.014560865371
2005-02-11,2005-02-14,1.23827854761,1275.81519502,1275.81519502,0,1030.31357321,1,1,1,0,1.23827854761,1.23827854761,0,0,0,0,False,0.0359378308252,44.2594422932,0
2005-02-14,2005-02-15,1.29710232773,1336.4221341,1336.4221341,0,1030.31357321,1,1,1,0,1.29710232773,1.29710232773,0,0,0,0,False,0.0475044813106,60.6069390874,0
2005-02-15,2005-02-16,1.31940395851,1359.399807,1359.399807,0,1030.31357321,1,1,1,0,1.31940395851,1.31940395851,0,0,0,0,False,0.0171934243749,22.9776728956,0
2005-02-16,2005-02-17,1.35682328239,1397.9534443,1397.9534443,0,1030.31357321,1,1,1,0,1.35682328239,1.35682328239,0,0,0,0,False,0.0283607788543,38.5536373008,0
2005-02-17,2005-02-18,1.31326705033,1353.07686721,1353.07686721,0,1030.31357321,1,1,1,0,1.31326705033,1.31326705033,0,0,0,0,False,-0.0321016248945,-44.8765770889,-0.0321016248945
2005-02-18,2005-02-22,1.29171338377,1330.869832,1330.869832,0,1030.31357321,1,1,1,0,1.29171338377,1.29171338377,0,0,0,0,False,-0.0164122495569,-22.2070352143,-0.0479870145724
2005-02-22,2005-02-23,1.2979998356,1337.34684864,1337.34684864,0,1030.31357321,1,1,1,0,1.2979998356,1.2979998356,0,0,0,0,False,0.00486675442707,6.47701664672,-0.043353801161
2005-02-23,2005-02-24,1.32434302486,1364.48859411,1364.48859411,0,1030.31357321,1,1,1,0,1.32434302486,1.32434302486,0,0,0,0,False,0.0202952177218,27.1417454627,-0.0239384582729
2005-02-24,2005-02-25,1.34140596689,1382.06877487,1382.06877487,0,1030.31357321,1,1,1,0,1.34140596689,1.34140596689,0,0,0,0,False,0.0128840804124,17.5801807682,-0.0113628028818
