decision_date,entry_date,exit_date,raw_union_cash_edge,net_union_cash_edge,veto_benefit,beneficial_veto,risk_on,spy_return_20,qqq_return_20,selector_regime_n_eff,selector_regime_mean,selector_regime_ready,selector_cash_prediction,selector_skip_prediction
2005-08-12,2005-08-15,2005-08-16,-0.019389316578817421,-0.020389316662150644,0.020389316662150644,True,True,0.0017909685073351778,0.0082277340423633216,4.9502493756250008,0.0067734181270375487,False,False,True
2006-01-30,2006-01-31,2006-02-01,0.0073112793419570421,0.006311279258623818,-0.006311279258623818,False,True,0.025960913876283076,0.036099646473850111,5.9254981287468755,0.0020206134242744716,False,False,True
2009-10-02,2009-10-05,2009-10-06,-0.0082364113453777029,-0.0092364114287109261,0.0092364114287109261,True,True,0.023131371728603911,0.035675952577064241,6.8958706381031414,0.0024978070121055708,False,False,True
2010-11-22,2010-11-23,2010-11-24,-0.0049803948532767782,-0.0059803949366100022,0.0059803949366100022,True,True,0.012552684594132169,0.019657060814931571,7.8613912849126253,0.00087796409084181818,False,False,True
2011-04-18,2011-04-19,2011-04-20,-0.030772961301089374,-0.0317729613844226,0.0317729613844226,True,True,0.0063203471597370608,0.013513925833417817,8.8220843284880619,-1.2795883579370565e-05,False,False,True
2011-05-17,2011-05-18,2011-05-19,-0.01653569867137069,-0.017535698754703913,0.017535698754703913,True,True,0.019990625893636871,0.023288917217189287,9.777973906845622,-0.0033632002103122739,False,False,True
2011-07-18,2011-07-19,2011-07-20,-0.046822830623709087,-0.04782283070704231,0.04782283070704231,True,True,0.028020565954681942,0.069715749617029532,10.729084037311393,-0.0047773469422198291,False,False,True
2011-12-20,2011-12-21,2011-12-22,-0.00078155115648051085,-0.0017815512398137346,0.0017815512398137346,True,True,0.042253086090934477,0.032296697671539087,11.675438617124836,-0.0085498377061687721,False,False,True
2012-07-23,2012-07-24,2012-07-25,0.055724300579671836,0.054724300496338613,-0.054724300496338613,False,True,0.012213130919568327,0.0017363624486683715,12.617061424039212,-0.0080926563000427009,True,False,True
2012-09-27,2012-09-28,2012-10-01,0.011245562159368233,0.01024556207603501,-0.01024556207603501,False,True,0.027574687689346122,0.013700756342728493,13.553976116919015,-0.003531857632566571,True,False,True
2013-04-24,2013-04-25,2013-04-26,0.0034589782117053847,0.0024589781283721607,-0.0024589781283721607,False,True,0.010820407710615987,0.010333524085820445,14.48620623633442,-0.0026498172338029957,True,False,True
2015-03-12,2015-03-13,2015-03-16,0.0041886400854290722,0.0031886400020958482,-0.0031886400020958482,False,True,0.00082093458170851008,0.0097347299562036138,15.413775205152747,-0.0023832508200494181,True,False,True
2015-08-05,2015-08-06,2015-08-07,0.012058517311627028,0.011058517228293804,-0.011058517228293804,False,True,0.02708693870319423,0.058064142578963418,16.336706329126983,-0.0021033969653798151,True,False,True
2015-10-02,2015-10-05,2015-10-06,-0.0068022255846823384,-0.0078022256680155624,0.0078022256680155624,True,True,0.0023714063315556366,0.0084440637152585207,17.255022797481349,-0.0013985637262075624,True,False,True
2015-11-16,2015-11-17,2015-11-18,-0.0072827334529407695,-0.0082827335362739927,0.0082827335362739927,True,True,0.011063353581292512,0.024645973330356119,18.16874768349394,-0.0018060581035920808,True,False,True
2017-08-09,2017-08-10,2017-08-11,0.02085385489698138,0.019853854813648156,-0.019853854813648156,False,True,0.013278477853242654,0.02430734897418052,19.077903945076471,-0.0021979604864503003,True,False,True
2018-04-30,2018-05-01,2018-05-02,-0.051644342546849832,-0.052644342630183055,0.052644342630183055,True,True,0.02734313330767546,0.034917481306844245,19.982514425351088,-0.0011444486876519963,True,False,True
2018-09-11,2018-09-12,2018-09-13,0.0063327126232388068,0.0053327125399055828,-0.0053327125399055828,False,True,0.024636357399371533,0.015527625671567069,20.882601853224333,-0.0036584981770243514,True,False,True
2018-09-13,2018-09-14,2018-09-17,0.016075588770739301,0.015075588687406077,-0.015075588687406077,False,True,0.032117163239264945,0.029570902199269611,21.778188843958212,-0.0032915617806668043,True,False,True
2018-11-27,2018-11-28,2018-11-29,-0.033003254132127222,-0.034003254215460445,0.034003254215460445,True,True,0.017205958351463435,0.0012867338962625485,22.669297899738421,-0.002525452924470623,True,False,True
2020-02-03,2020-02-04,2020-02-05,-0.025704368534904966,-0.026704368618238189,0.026704368618238189,True,True,0.005303762000183454,0.038285438052585219,23.555951410239729,-0.0039042043622158022,True,False,True
2021-03-01,2021-03-02,2021-03-03,0.02843551228893295,0.027435512205599727,-0.027435512205599727,False,True,0.052719730449263258,0.028706922830716852,24.43817165318853,-0.0048780973840471175,True,False,True
2021-07-20,2021-07-21,2021-07-22,-0.0028130885206445969,-0.0038130886039778209,0.0038130886039778209,True,True,0.024236010629012483,0.041903886489156328,25.315980794922588,-0.0036411866255829069,True,False,True
2025-02-04,2025-02-05,2025-02-06,-0.012004886684283921,-0.013004886767617144,0.013004886767617144,True,True,0.016606250586638227,0.011357982590647797,26.189400890947976,-0.0036859338333028713,True,False,True
2025-11-11,2025-11-12,2025-11-13,0.0032418442432548171,0.0022418441599215931,-0.0022418441599215931,False,True,0.031363769168606392,0.039414774102041195,27.058453886493236,-0.0040672916729242604,True,False,True
2026-01-26,2026-01-27,2026-01-28,0.0058822416956270168,0.0048822416122937928,-0.0048822416122937928,False,True,0.0034038451949904847,0.0024521520016542731,27.923161617060771,-0.0038771579293918577,True,False,True
