decision_date,fill_date,adjusted_open,equity_before_fill,equity,cash,shares,holding_exposure_for_return,target_exposure,new_exposure_after_fill,signed_share_delta,reference_price,fill_price,turnover,fees,slippage,margin_interest,trade_executed,daily_return,monetary_pnl,drawdown
1999-12-31,2000-01-03,0.784869703588,1000,999.000999001,0,1272.82400433,0,1,1,1272.82400433,0.784869703588,0.785654573292,0.999000999001,0,0.999000999001,0,True,-0.000999000999001,-0.999000999001,-0.000999000999001
2000-01-03,2000-01-04,0.810127597074,1031.14985213,1031.14985213,0,1272.82400433,1,1,1,0,0.810127597074,0.810127597074,0,0,0,0,False,0.0321810019811,32.148853128,0
2000-01-04,2000-01-05,0.776449872605,988.284036013,988.284036013,0,1272.82400433,1,1,1,0,0.776449872605,0.776449872605,0,0,0,0,False,-0.0415708890683,-42.8658161156,-0.0415708890683
2000-01-05,2000-01-06,0.794224571287,1010.90809917,1010.90809917,0,1272.82400433,1,1,1,0,0.794224571287,0.794224571287,0,0,0,0,False,0.0228922681417,22.6240631526,-0.019630272866
2000-01-06,2000-01-07,0.722191908826,919.22319729,919.22319729,0,1272.82400433,1,1,1,0,0.722191908826,0.722191908826,0,0,0,0,False,-0.0906955854365,-91.6849018764,-0.108545479213
2000-01-07,2000-01-10,0.763352951259,971.613960141,971.613960141,0,1272.82400433,1,1,1,0,0.763352951259,0.763352951259,0,0,0,0,False,0.0569946047993,52.3907628519,-0.0577373811038
2000-01-10,2000-01-11,0.717982827321,913.865777313,913.865777313,0,1272.82400433,1,1,1,0,0.717982827321,0.717982827321,0,0,0,0,False,-0.0594353160799,-57.7481828287,-0.113741057688
2000-01-11,2000-01-12,0.710966093624,904.934710231,904.934710231,0,1272.82400433,1,1,1,0,0.710966093624,0.710966093624,0,0,0,0,False,-0.00977284334656,-8.93106708146,-0.122402327496
2000-01-12,2000-01-13,0.707107090431,900.022878335,900.022878335,0,1272.82400433,1,1,1,0,0.707107090431,0.707107090431,0,0,0,0,False,-0.0054278301416,-4.91183189637,-0.127165778595
2000-01-13,2000-01-14,0.748385465874,952.562985459,952.562985459,0,1272.82400433,1,1,1,0,0.748385465874,0.748385465874,0,0,0,0,False,0.0583764128541,52.5401071238,-0.076212847733
2000-01-14,2000-01-18,0.755869755041,962.089168366,962.089168366,0,1272.82400433,1,1,1,0,0.755869755041,0.755869755041,0,0,0,0,False,0.0100005805939,9.52618290689,-0.0669744398651
2000-01-18,2000-01-19,0.79048208263,1006.14456977,1006.14456977,0,1272.82400433,1,1,1,0,0.79048208263,0.79048208263,0,0,0,0,False,0.0457913911205,44.0554014015,-0.0242499015155
2000-01-19,2000-01-20,0.86438529987,1100.21035867,1100.21035867,0,1272.82400433,1,1,1,0,0.86438529987,0.86438529987,0,0,0,0,False,0.0934913249313,94.0657889,0
